Kürzel;Beschreibung;wird gesetzt von:
YIZ;Irrläufer an anderen PT AiF/EN;PA
PC+;pre-check positiv;AB/FB/QS
PC?;pre-check unvollständig;AB/FB/QS
PC-;pre-check negativ;AB/FB/QS
PCAN;pre-check Nachforderungen an ASt;AB/FB/QS
PCQ;pre-check NF Qualitätssicherung;QS
PCAL;pre-check Nachlieferungen;neutral
ÄG;Unterlagen zur Änderung der Zuweisung ans BMWK;PA
LG;Unterlagen zur Änderung der Zuweisung ans BMWK;PA
MVG;Unterlagen zur Änderung der Zuweisung ans BMWK;PA
ZABB;Zuweisung wurde bewilligt - bitte in PROFI anlegen;QS
ZDV;Zuweisung in profi angelegt;QS
ZN;Eingang Zwischennachweis;neutral
ZNN;Nachforderung/Rückfragen zum ZN;AB/FB
ZNL;Nachlieferung zum ZN;neutral
ZNKS;Zwischennachweis kaufmännisch geprüft;AB
ZNTS;Zwischennachweis technisch geprüft;FB
ZNGZ;Zwischennachweis in profi gebucht;AB
ZQS;QS Änderung ist erfolgt - Ä/L/MV;QS
PROFI;Kapitel - Objektkonto - HKR-Nr.;AB/FB
ZBFI;Weitergabe Bearbeitung Zwischenbericht;AB/FB
IAKZ;Aktenzeichen vom Gericht;Juristen
IP;Kenntnisnahme von Insolvenz des Partners;AB/FB/QS/Juristen
IFAX;keine FA notwendig - ohne Auszahlung;AB
VPSP1;Stichprobe - Stufe 1;AB/FB
VPB1;Belegliste angefordert;AB/FB
VPB1A;Eingang Belegliste;AB/FB
VPSP2;Stichprobe - Stufe 2;AB/FB
VPB2;Belege/RE angefordert;AB/FB
VPB2A;Eingang Belege/RE;neutral
VNFI;Weitergabe Bearbeitung Verwendungsnachweis;AB/FB
VRM1;Erinnerung Rückzahlung;neutral
WZBE;Eingang Widerspruch Zuw.Bescheid;neutral
WZBR;Widerspruch Zuw.Bescheid zurückgezogen;neutral
WZBA;Widerspruch ZUB abgelehnt;PA
WZBS;Widerspruch ZUB stattgegeben;PA
WZBTS;Widerspruch ZUB teilweise stattgegeben;PA
WZBQ;Widerspruchsbescheid ZUB Qualitätssicherung;QS
WZBZ;Widerspruchsbescheid an ZE;PA
WZBD;Widerspruchsbescheid rechtskräftig;PA
LWR;Widerspruch Laufzeit zurückgezogen;neutral
MVWR;Widerspruch MV zurückgezogen;neutral
